product_name,material_name,qty_needed,unit
Yellow Helow,Jahe Mix Kering,28.0,gram
Yellow Helow,Sereh Kering,28.0,gram
Yellow Helow,Kunyit Kering,28.0,gram
Yellow Helow,Lemon Kering,28.0,gram
Simple Purple,Bunga Telang Kering,11.2,gram
Simple Purple,Pandan Kering,7.0,gram
Simple Purple,Sereh Kering,21.0,gram
Simple Purple,Lemon Kering,28.0,gram
Simple Purple,Nanas Kering,28.0,gram
Simple Purple,Lavender Kering,3.5,gram
Reddish Wish,Bunga Telang Kering,3.5,gram
Reddish Wish,Apple Blossom Kering,14.0,gram
Reddish Wish,Peppermint Kering,10.0,gram
Reddish Wish,Rosella Kering,38.5,gram
Reddish Wish,Lemon Kering,7.0,gram
Reddish Wish,Kayu Manis Giling,5.0,gram
Wedang Uwuh,Cengkeh Kering,1.0,gram
Wedang Uwuh,Kapulaga Kering,1.0,gram
Wedang Uwuh,Sereh Kering,3.0,gram
Wedang Uwuh,Kayu Manis Potong,2.5,gram
Wedang Uwuh,Pandan Kering,0.25,gram
Wedang Uwuh,Kayu Secang,3.0,gram
Wedang Uwuh,Jahe Mix Kering,3.0,gram
Wedang Uwuh,Gula Batu,14.0,gram
