category,no,name,unit,stock,price_per_unit,selling_price
STOCK BAHAN MENTAH,1,Jahe Mix Basah,gram,0.0,35.5,47.215
STOCK BAHAN MENTAH,2,Kunyit Basah,gram,0.0,14.8,19.684
STOCK BAHAN MENTAH,3,Lemon Basah,gram,0.0,50.0,66.5
STOCK BAHAN MENTAH,4,Nanas Basah,gram,0.0,25.0,33.25
STOCK BAHAN MENTAH,5,Pandan Basah,gram,0.0,25.0,33.25
STOCK BAHAN MENTAH,6,Sereh Basah,gram,0.0,6.0,7.98
STOCK BAHAN KERING,7,Apple Blossom Kering,gram,838.5,168.188,223.69004
STOCK BAHAN KERING,8,Bunga Telang Kering,gram,238.1,101.31,134.7423
STOCK BAHAN KERING,9,Cengkeh Kering,gram,163.0,11.082,14.73906
STOCK BAHAN KERING,10,Gula Batu,gram,703.6,8.668,11.52844
STOCK BAHAN KERING,11,Jahe Mix Kering,gram,952.9,240,319.2
STOCK BAHAN KERING,12,Jahe Uwuh,gram,106.0,135.0,179.55
STOCK BAHAN KERING,13,Kapulaga Kering,gram,395.1,135.0,179.55
STOCK BAHAN KERING,14,Kayu Manis Potong,gram,73.0,60.0,79.8
STOCK BAHAN KERING,15,Kayu Manis Utuh,gram,0.0,60.0,79.8
STOCK BAHAN KERING,16,Kayu Secang,gram,351.3,23.0,30.59
STOCK BAHAN KERING,17,Kunyit Kering,gram,1.0,100,133
STOCK BAHAN KERING,18,Lavender Kering,gram,289.0,334.99,445.5367
STOCK BAHAN KERING,19,Lemon Kering,gram,1.0,333.3333333,443.3333333
STOCK BAHAN KERING,20,Lemon Kering Lokal,gram,1045.8,50.0,66.5
STOCK BAHAN KERING,21,Nanas Kering,gram,290.7,166.6666667,221.6666667
STOCK BAHAN KERING,22,Pandan Kering,gram,8.5,166.6666667,221.6666667
STOCK BAHAN KERING,23,Pandan Online,gram,0.0,84.0,111.72
STOCK BAHAN KERING,24,Peppermint Kering,gram,51.0,165.0,219.45
STOCK BAHAN KERING,25,Rosella Kering,gram,2031.8,95.0,126.35
STOCK BAHAN KERING,26,Sereh Kering,gram,249.0,46.66666667,62.06666667
STOCK BAHAN KERING,27,Sereh Online Uwuh,gram,52.4,95.0,126.35
STOCK GILINGAN,28,Bunga Telang Giling,gram,1198.3,111.0,147.63
STOCK GILINGAN,29,Jahe Merah Giling,gram,913.4,250,332.5
STOCK GILINGAN,30,Kayu Manis Giling,gram,533.5,70.0,93.1
STOCK GILINGAN,31,Kapulaga Giling,gram,398.7,145.0,192.85
STOCK GILINGAN,32,Kunyit Giling,gram,1290.2,110.0,146.3
STOCK GILINGAN,33,Lemon Giling,gram,2148.0,343.0,456.19
STOCK GILINGAN,34,Nanas Giling,gram,475.3,177.0,235.41
STOCK GILINGAN,35,Pandan Giling,gram,548.1,177.0,235.41
STOCK GILINGAN,36,Peppermint Giling,gram,546.1,175.0,232.75
STOCK GILINGAN,37,Rosella Giling,gram,462.7,105.0,139.65
STOCK GILINGAN,38,Sereh Giling,gram,1540.5,57.0,75.81
STOCK BUBUK,39,Reddish Wish Bubuk,gram,200.2,298.0,396.34
STOCK BUBUK,40,Simple Purple Bubuk,gram,95.4,205.0,272.65
STOCK BUBUK,41,Yellow Helow Bubuk,gram,419.1,145.0,192.85
STOCK JADI,42,Kantong Yellow Helow,pcs,100.0,1168.2,1553.706
STOCK JADI,43,Kantong Reddish Wish,pcs,300.0,1196.004829,1590.686423
STOCK JADI,44,Kantong Simple Purple,pcs,269.0,997.3487286,1326.473809
STOCK JADI,45,Sachet Yellow Helow,pcs,125.0,1723.2,2291.856
STOCK JADI,46,Sachet Reddish Wish,pcs,72.0,1552.348729,2064.623809
