category,no,name,unit,stock,price_per_unit,selling_price
STOCK JADI,42,Kantong Yellow Helow,pcs,100.0,1168.2,1553.706
STOCK JADI,43,Kantong Reddish Wish,pcs,300.0,1196.004829,1590.686423
STOCK JADI,44,Kantong Simple Purple,pcs,269.0,997.3487286,1326.473809
STOCK JADI,45,Sachet Yellow Helow,pcs,125.0,1723.2,2291.856
STOCK JADI,46,Sachet Reddish Wish,pcs,72.0,1552.348729,2064.623809
STOCK JADI,47,Sachet Simple Purple,pcs,66.0,1751.004829,2328.836423
STOCK JADI,48,Pouch Yellow Helow,pcs,12.0,18724.8,24903.984
STOCK JADI,49,Pouch Reddish Wish,pcs,12.0,16332.8822,21722.73333
STOCK JADI,50,Pouch Simple Purple,pcs,12.0,19114.06761,25421.70992
STOCK JADI,51,Pouch Mix and Match,pcs,9.0,19191.0,25524.03
STOCK JADI,52,Wedang Uwuh,pcs,30.0,3150.0,4189.5
STOCK JADI,53,Madu Uray Sachet,pcs,10.0,2125.0,2826.25
STOCK JADI,54,Box Beauty Journey,pcs,9.0,13866.4411,18442.36666
STOCK JADI,55,Box Healthy Journey,pcs,3.0,15062.4,20032.992
STOCK JADI,56,Box Serenity Journey,pcs,9.0,15257.0338,20291.85496
STOCK JADI,57,Box All Day Journey,pcs,4.0,13053.10712,17360.63246
STOCK JADI,58,Hampers,pcs,0.0,83185.8749,110637.2136
